# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.0 Date:  08/22/2022
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) TUName (regulated)
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the TFRS#  (6) Object confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	tolC-ygiBC[tolCp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	treR[treRp3]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	treR[treRp4]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PhoP	ybjG[ybjGp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	ydeP[ydePp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PhoP	yrbL[yrbLp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PlaR	plaR[plaRp]	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX],[ICWHO|W|Inferred computationally without human oversight]	[GEA|W|Gene expression analysis]	STRONG	
PlaR	yiaKLMNO-lyx-sgbHUE[yiaKp1]	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX],[ICWHO|W|Inferred computationally without human oversight]	[GEA|W|Gene expression analysis]	STRONG	
PrpR	prpBCDE[prpBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis],]	WEAK	
PrpR	prpR[prpRp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis],]	WEAK	
PspF	pspABCDE[pspAp]	+	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PspF	pspF[pspFp1]	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PspF	pspG[pspGp]	+	[BPP|S|Binding of purified proteins],[ICA|W|Inferred by computational analysis]	[GEA|W|Gene expression analysis]	STRONG	
PurR	carAB[carAp1]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PurR	codBA[codBp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PurR	cvpA-purF-ubiX[cvpAp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PurR	gcvTHP[gcvTp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
PurR	glnB[glnBp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PurR	glnB[glnBp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PurR	glyA[glyAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PurR	guaBA[guaBp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PurR	hflD-purB[hflDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PurR	prs[prsp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PurR	purA[purAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PurR	purC[purCp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PurR	purEK[purEp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PurR	purHD[purHp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
PurR	purL[purLp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PurR	purMN[purMp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PurR	purR[purRp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PurR	purT[purTp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PurR	pyrC[pyrCp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PurR	pyrD[pyrDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PurR	speAB[speAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
PutA	putA[putAp]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PutA	putP[putPp1]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
PuuR	puuAP[puuAp]	-	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator],[SM|S|Site mutation]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
PuuR	puuDRCBE[puuDp]	-	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator],[SM|S|Site mutation]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
PyrR	yhjX[yhjXp]	+	[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
QseB	feaR[feaRp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
QseB	feaR[feaRp2]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
QseB	fimAICDFGH[fimAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
QseB	flhDC[flhDp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
QseB	qseBC[qseBp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RbsR	add[addp6]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RbsR	purHD[purHp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RbsR	rbsDACBKR[rbsDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcdA	asr[asrp]	+	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
RcdA	asr[asrp2]	+	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
RcdA	bluF[bluFp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcdA	csgDEFG[csgDp1]	+	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
RcdA	csgDEFG[csgDp3]	+	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
RcdA	rmf[rmfp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcdA	rsd[rsdp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcdA	sulA[sulAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcdA	yagK[yagKp6]	-	[BPP|S|Binding of purified proteins]	[]	STRONG	
RcdA	ydeI[ydeIp5]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RclR	rclABC[rclAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcnR	rcnAB[rcnAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcnR	rcnR[rcnRp]	-	[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	STRONG	
RcsAB	csgDEFG[csgDp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsAB	csgDEFG[csgDp3]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsAB	flhDC[flhDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsAB	rcsA[rcsAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis],]	STRONG	
RcsAB	wza-wzb-wzc-wcaAB[wzap1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis],]	STRONG	
RcsAB	yjbE[yjbEp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
RcsAB	yjbEFGH[yjbEp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
RcsB	bdm-sra[bdmp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	ftsAZ[ftsAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	gadAX[gadAp]	-	[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	gadAX[gadAp2]	-	[BPP|S|Binding of purified proteins],[IHBCE|W|Inferred by a human based on computational evidence],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	gadBC[gadBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
RcsB	gadBC[gadBp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
RcsB	gadY[gadYp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	hdeAB-yhiD[hdeAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	hdeAB-yhiD[hdeAp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	hdeD[hdeDp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	hdeD[hdeDp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	lolA-rarA[lolAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
RcsB	osmB[osmBp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
RcsB	osmC[osmCp1]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	rpoE-rseABC[rpoEp2b]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[]	STRONG	
RcsB	rpoE-rseABC[rseDp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[]	STRONG	
RcsB	rprA[rprAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	safA-ydeO[safAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB	ydeP[ydePp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
RcsB-BglJ	bglG[bglGp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB-BglJ	bglG[bglGp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis],[SM|S|Site mutation]	STRONG	
RcsB-BglJ	bglGFB[bglGp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB-BglJ	leuO[leuOp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
RcsB-BglJ	sfsB[sfsBp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
RcsB-BglJ	yecT[yecTp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
RcsB-BglJ	yehF[yehFp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
RcsB-BglJ	ygiZ[ygiZp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
RcsB-BglJ	yidL[yidLp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
